subject,acc,RT,response,imageID,corResponse,trial,blockLength,setSize,repetition
7501,1,0.474140399999669,1,4,1,390,78,6,1
7501,0,0.587968399999227,2,1,1,391,78,6,1
7501,0,0.426706599999306,2,2,1,392,78,6,1
7501,1,0.343958499999644,2,3,2,393,78,6,1
7501,1,0.456348800000342,2,4,2,394,78,6,2
7501,0,0.300623999999516,2,5,3,395,78,6,1
7501,0,0.254238000001351,2,6,3,396,78,6,1
7501,1,0.346670799999629,2,4,2,397,78,6,3
7501,1,0.514938599999368,3,6,3,398,78,6,2
7501,1,0.68429979999928,1,2,1,399,78,6,2
7501,0,0.575315699999919,3,1,1,400,78,6,2
7501,0,0.638344400000278,1,5,3,401,78,6,2
7501,1,0.507089200000337,2,4,2,402,78,6,4
7501,1,0.461306400000467,2,3,2,403,78,6,2
7501,1,0.441329400000541,1,1,1,404,78,6,3
7501,0,0.53405070000008,1,6,3,405,78,6,3
7501,0,0.430609699998968,2,6,3,406,78,6,4
7501,0,0.603328299999703,3,2,1,407,78,6,3
7501,1,0.569310400000177,2,3,2,408,78,6,3
7501,1,0.672681700001704,1,1,1,409,78,6,4
7501,1,0.691662799999904,1,2,1,410,78,6,4
7501,1,0.622316499999215,2,3,2,411,78,6,4
7501,0,0.532000199998947,3,4,2,412,78,6,5
7501,1,0.532320700000128,3,5,3,413,78,6,3
7501,1,0.388939899999968,3,6,3,414,78,6,5
7501,1,0.507883100000981,1,2,1,415,78,6,5
7501,1,0.645949900001142,3,5,3,416,78,6,4
7501,1,0.618786699998964,1,1,1,417,78,6,5
7501,1,0.607809000000998,2,3,2,418,78,6,5
7501,1,0.613957600000504,3,6,3,419,78,6,6
7501,1,0.547387299999173,3,5,3,420,78,6,5
7501,1,0.635236799998893,2,4,2,421,78,6,6
7501,1,0.51977369999986,2,4,2,422,78,6,7
7501,1,0.52136960000098,1,1,1,423,78,6,6
7501,1,0.618384800000058,2,3,2,424,78,6,6
7501,1,0.423653300000296,1,2,1,425,78,6,6
7501,1,0.589244699998744,2,3,2,426,78,6,7
7501,1,0.651999700001397,3,6,3,427,78,6,7
7501,1,0.431684600000153,3,6,3,428,78,6,8
7501,1,0.67666250000002,3,5,3,429,78,6,6
7501,1,0.591921799999909,1,1,1,430,78,6,7
7501,1,0.726323400000183,3,5,3,431,78,6,7
7501,1,0.512033099999826,2,4,2,432,78,6,8
7501,1,0.585739300000569,1,1,1,433,78,6,8
7501,1,0.464455499999531,1,2,1,434,78,6,7
7501,1,0.659557799999675,3,5,3,435,78,6,8
7501,1,0.480000100000325,1,2,1,436,78,6,8
7501,1,0.61098579999998,2,3,2,437,78,6,8
7501,1,0.520943099998476,3,6,3,438,78,6,9
7501,1,0.4906718000002,2,4,2,439,78,6,9
7501,1,0.556984400000147,2,3,2,440,78,6,9
7501,1,0.573388200000409,1,2,1,441,78,6,9
7501,1,0.564381099999082,3,6,3,442,78,6,10
7501,1,0.55600079999931,3,5,3,443,78,6,9
7501,1,0.531898199998977,1,1,1,444,78,6,9
7501,1,0.564616400000887,2,4,2,445,78,6,10
7501,1,0.451995699999316,2,4,2,446,78,6,11
7501,1,0.527972500000033,3,6,3,447,78,6,11
7501,1,0.593342800000755,2,3,2,448,78,6,10
7501,1,0.496001600000454,2,3,2,449,78,6,11
7501,1,0.498748400001205,1,2,1,450,78,6,10
7501,1,0.540632799999003,1,1,1,451,78,6,10
7501,1,0.509275500000513,1,2,1,452,78,6,11
7501,1,0.550920600000609,3,6,3,453,78,6,12
7501,1,0.559320899999875,3,5,3,454,78,6,10
7501,1,0.519245399998908,1,1,1,455,78,6,11
7501,1,0.52068859999963,2,4,2,456,78,6,12
7501,1,0.617719699999725,3,5,3,457,78,6,11
7501,1,0.520559899998261,1,1,1,459,78,6,12
7501,1,0.570060799998828,2,3,2,460,78,6,12
7501,1,0.463327899999058,1,2,1,462,78,6,12
7501,1,0.45791300000019,3,5,3,466,78,6,12
